corporate_identification_number,company_name,registered_state,date,rank
U51909AN2020PTC005479,ANDAMAN RUPSHA MARKETING AND NETWORKINGPRIVATE LIMITED,Andaman and Nicobar Islands,2020-01-13,1
U92410AN2020PTC005478,LILIUM ADVENTURE SPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,2020-01-03,2
U74999AN2019PTC005477,TAURINE FILMS AND TRAVELS PRIVATELIMITED,Andaman and Nicobar Islands,2019-12-20,3
U70109AN2019PTC005476,KMS DREAM CREATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,2019-12-16,4
U60221AN2019PTC005475,DE WHALEN PARADISE PRIVATE LIMITED,Andaman and Nicobar Islands,2019-12-06,5
U63031AN2019PTC005474,INFO INDIA TOUR AND HOLIDAYS PRIVATELIMITED,Andaman and Nicobar Islands,2019-11-21,6
U63031AN2019PTC005473,PARWATI MULTI-SECTORAL SERVICES PRIVATELIMITED,Andaman and Nicobar Islands,2019-11-14,7
U26990AN2019PTC005472,MITTAL ROOFING PRIVATE LIMITED,Andaman and Nicobar Islands,2019-10-24,8
U63030AN2019PTC005471,NICO TECHNOLOGIES AND TRAVEL SOLUTIONSPRIVATE LIMITED,Andaman and Nicobar Islands,2019-10-18,9
U05002AN2019PTC005470,NOORY FISHERIES PRIVATE LIMITED,Andaman and Nicobar Islands,2019-10-09,10
U61100AN2019PTC005469,DWEEP ENGINEERING ISLAND PRIVATE LIMITED,Andaman and Nicobar Islands,2019-10-09,10
U72900AN2019PTC005468,NOUVEAU TECHSOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,2019-09-24,11
U22300AN2019PTC005467,HIFI7 FIBERNET PRIVATE LIMITED,Andaman and Nicobar Islands,2019-09-19,12
U85300AN2019NPL005466,GV KACHREWAALE FOUNDATION,Andaman and Nicobar Islands,2019-09-18,13
U45309AN2019PTC005465,S.C.B PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,2019-09-16,14
U29309AN2019PTC005464,BLUEMINE MARINE SOLUTIONS PRIVATELIMITED,Andaman and Nicobar Islands,2019-09-09,15
U24110AP2020PTC114060,KOTTAPALLI SURFACTANTS AND SERVICESINDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U24290AP2020PTC114059,TGV SODIUM & ELECTROLITE PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U51909AP2020PTC114057,SUBA PRADA OILS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U93090AP2020NPL114058,SAMPATH SOMESHWARA & PADMININARASIMHAMURTHY FOUNDATION,Andhra Pradesh,2020-01-31,1
U14290AP2020PTC114065,AGL GRANITES EXCAVATION INDIA PRIVATELIMITED,Andhra Pradesh,2020-01-31,1
U15549AP2020PTC114067,GURUBILLI FOOD PRODUCTS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U63090AP2020PTC114061,ZUP TOURS AND TRAVELS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U80903AP2020PTC114069,COGNOZA TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U85100AP2020OPC114064,FALCONREMEDIES (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U22219AP2020PTC114056,NOWMAX INFOTAINMENT PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U22219AP2020PTC114063,BATHINA BROADCASTING AND PUBLICATIONPRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U72900AP2020OPC114062,LITHIFIC (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U74999AP2020OPC114068,AAA SGP MEDIA (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U74999AP2020PTC114066,HREEM CONSULTANCY CATALYST PRIVATELIMITED,Andhra Pradesh,2020-01-31,1
U70200AP2020PTC114054,SREE ASHWAMEDHA REALTORS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U51909AP2020PTC114053,VIJAY CLOTH EMPORIUM PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U92120AP2020PTC114050,AP DIGITAL VISION PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U55100AP2020PTC114051,PRAYANIKA SERVICES PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U52320AP2020PTC114052,LAVA KUSH CLOTHING PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020OPC114047,SANJANA TECHNO SOLUTIONS (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114046,DIGITAL CLOUDQ SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114049,SFSF INFOTECH PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114055,NOVODHI SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U74999AP2020PTC114048,PICK A BOOK PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72200AP2020PTC114041,ASKMR SOFT SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74300AP2020PTC114037,SRH MARKETING PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74900AP2020PTC114034,NAGYA PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U51909AP2020PTC114042,WHITEBOX ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U45100AP2020PTC114045,MAMATHA & MOKSHITH INFRASTRUCTURESPRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U55209AP2020PTC114036,SRIVARIPADAM LUXURY HOTELS PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U80904AP2020PTC114039,ARYOS INTERNATIONAL EDUCATION PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U45209AP2020PTC114033,BILLDOLL ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U22300AP2020PTC114031,HR GLOBAL NETWORK PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U65990AP2020PLN114044,RAJAHMUNDRY SRI GOKUL NIDHI LIMITED,Andhra Pradesh,2020-01-29,3
U45309AP2020PTC114035,MRNIRMAN INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114032,LEDORY TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114038,HANABIRA GROUPS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114043,KRITRIMAMEDHA SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74999AP2020PTC114040,MOJO OVERSEAS CONSULTANCY PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U92410AP2020PTC114029,IN2 FITNESS PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U45309AP2020PTC114024,VLR INFRASTRUCTURES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U72900AP2020OPC114025,NERIMETLA SOLUTIONS (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U72900AP2020PTC114028,IPLAY TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020OPC114023,HILTAPP ONLINE SERVICES (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114026,GOGARUDHA PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114027,DUROTECH INDUSTRIES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114030,TUOJIANG TECHNOLOGY SERVICE PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U01100AP2020PTC114021,PVS GREEN ESTATES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U01111AP2020PTC114018,BHUVI SURYA ECOLOGICALS AND CULTIVATORSPRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U05000AP2020PTC114011,KRISHNA AQUATECH PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U15549AP2020PTC114010,KOTHA AGRO FOODS PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U80900AP2020PTC114017,NIPUNA LEARNING EXCELLENCE PRIVATELIMITED,Andhra Pradesh,2020-01-27,5
U80904AP2020PTC114016,RADICAL EDUCATION INFRASTRUCTURE ANDSERVICES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U80904AP2020PTC114020,INTERNATIONAL INSTITUTE OF MODERNTECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114012,SOILS & ROOFS INFRASTRUCTURE ANDDEVELOPERS INDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114014,UNBEND INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114022,EMPEROR MANSIONS INFRA & PROJECTSPRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U72900AP2020PTC114019,PRANUVISH GLOBAL PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45500AP2020PTC114013,COMMUNITY BUILDERS PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45500AP2020PTC114015,CRBR INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U01100AP2020PTC114005,VAMSADHARA FARMERS PRODUCER COMPANYLIMITED,Andhra Pradesh,2020-01-24,6
U01400AP2020PTC114003,MEDURU TEJA MIRCHI FARMERS PRODUCERCOMPANY LIMITED,Andhra Pradesh,2020-01-24,6
U51909AP2020OPC113999,ECO CUBO (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U51909AP2020PTC113998,TWEST TRADING PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U15549AP2020PTC114004,AMERIFARM ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U85100AP2020PTC113996,VALLI HEALTH CARE PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U35999AP2020PTC114000,BAMBOAT MARINE PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U37200AP2020PTC114009,WASTE TO RESOURCE TECHNOLOGIES PRIVATELIMITED,Andhra Pradesh,2020-01-24,6
U67100AP2020PTC114006,KONIGA HOLDINGS PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U65990AP2020PTC114007,BHUPATHI CAPITAL PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U72900AP2020PTC113995,KUNDANS INITIATIVES PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U72900AP2020PTC114001,NOBLESOFT TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U72900AP2020PTC114002,4 QUBE IT AND SOFTWARE SOLUTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-24,6
U72900AP2020PTC114008,EASY PAGES SERVICES PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U50403AP2020PTC113997,FORTIS PURSUITS PRIVATE LIMITED,Andhra Pradesh,2020-01-24,6
U01100AP2020PTC113994,ADHUNIK FARMERS PRODUCER COMPANY LIMITED,Andhra Pradesh,2020-01-23,7
U28999AP2020PTC113982,TGV INDUSTRIES PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U31909AP2020PTC113990,JAM GLOBAL TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U24304AP2020PTC113988,IRAAHOLISTIC AYUR FORMULATION PRIVATELIMITED,Andhra Pradesh,2020-01-23,7
U45201AP2020PTC113989,DPD HOUSING INDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U72211AP2020PTC113981,VPS SOFTECH PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U52609AP2020OPC113992,LOKESWARA SPICES (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U65999AP2020PLN113991,AADHARANA NIDHI LIMITED,Andhra Pradesh,2020-01-23,7
U22219AP2020PTC113980,SEJ SCIENTIFIC EXHALTERS E JOURNALSPUBLICATIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U72900AP2020PTC113986,TECHNICAL HUB PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U72900AP2020PTC113987,SRIKAR FIN-SOFT PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U74994AP2020PTC113984,SREEWIN INFORMATICS PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U74999AP2020OPC113985,NTHRYS (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U74999AP2020PTC113993,VRR TUTORIALS PRIVATE LIMITED,Andhra Pradesh,2020-01-23,7
U01100AP2020PTC113969,SRIMALLIKARJUNA FEEDS PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U01100AP2020PTC113977,UPLAND AREA MIRCHI FARMERS PRODUCERCOMPANY LIMITED,Andhra Pradesh,2020-01-22,8
U24230AP2020PTC113972,MRR LABS PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U27300AP2020PTC113971,VARAVI GOLDS PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U15400AP2020PTC113968,EXPERIMENTBOX PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U34300AP2020PTC113975,ACO ELECTRIC MOTOCORP PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U45400AP2020PTC113970,ALTIMA URBAN REALTY PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U45400AP2020PTC113973,SITEPM ENGINEERS AND BUILDERS PRIVATELIMITED,Andhra Pradesh,2020-01-22,8
U72900AP2020PTC113978,MICRORELIC TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U74999AP2020OPC113976,NANDAKAM NETWORKS (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U74999AP2020OPC113979,TAG CREATIVES (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U74999AP2020PTC113974,ASIAN GLOBAL VACATION PRIVATE LIMITED,Andhra Pradesh,2020-01-22,8
U01100AP2020OPC113963,LITTLE RANCH (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U01100AP2020PTC113954,SRI VASUDEVU HORTICULTURE FARMERSPRODUCER COMPANY LIMITED,Andhra Pradesh,2020-01-21,9
U24230AP2020PTC113967,KVR DRUGS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U29309AP2020PTC113961,MECHINDUS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U31109AP2020PTC113952,SU-MAK POWER SYSTEMS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U51397AP2020PTC113947,REXCURE PHARMACEUTICALS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U51909AP2020PTC113965,LEAD TRADE IMPEX PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U45201AP2020OPC113957,ESTATEWALLS SERVICES (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-21,9
U15100AP2020PTC113951,JUSTIFIED FOODS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U60221AP2020PTC113960,KISHAN MOHAN LOGISTICS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U85300AP2020NPL113962,CENTRE FOR INNOVATION ANDENTREPRENEURSHIP DEVELOPMENT AT IIITS,Andhra Pradesh,2020-01-21,9
U80300AP2020PTC113953,GANGAARAM TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U80904AP2020NPL113966,SREEVEE EDUCATIONAL FOUNDATION,Andhra Pradesh,2020-01-21,9
U65999AP2020PLN113946,MANOVRAT GREEN NIDHI LIMITED,Andhra Pradesh,2020-01-21,9
U73200AP2020PTC113955,GENELIXIR PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U18209AP2020PTC113956,GDTMS ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U65990AP2020PTC113948,NUGEN INVESTMENTS PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U45309AP2020OPC113964,ABSOLUTE INFRA SYSTEMS (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-21,9
U45400AP2020PTC113949,SWALAV INFRASTRUCTURE PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U72900AP2020PTC113950,MCTO ONLINE VENTURE INDIA PRIVATELIMITED,Andhra Pradesh,2020-01-21,9
U72900AP2020PTC113959,CGXP TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U74999AP2020PTC113958,CHB HEALTHCARE PRIVATE LIMITED,Andhra Pradesh,2020-01-21,9
U24290AP2020PTC113930,VAIRAV LABS PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U24299AP2020PTC113931,TIBRO PHARMACEUTICALS PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U01229AP2020PTC113940,NUKE COLD CARE AQUA PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U51909AP2020PTC113938,PSLV PROPEL PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U92490AP2020PTC113934,JOYFUL CREATIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U52609AP2020PTC113932,SVAM TRADERS PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U52609AP2020PTC113936,NPSI ONLINE MARKETING PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U65992AP2020PTC113929,ARUNACHALAM CHIT FUND PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U65999AP2020PTC113939,BHAVYASRI FINANCE PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U67110AP2020PTC113937,IVY STOCK PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U45309AP2020PTC113943,NEW APEX INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U45400AP2020PTC113944,SRI HASMITHA INFRASTRUCTURE PRIVATELIMITED,Andhra Pradesh,2020-01-20,10
U72900AP2020PTC113935,ACREATE TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U72900AP2020PTC113942,MIDTECH BUSINESS SOLUTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-20,10
U74999AP2020PTC113933,KOOKOOFRESH NEARBY SOLUTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-20,10
U74999AP2020PTC113945,FALCON EYE SKILL SOURCE PRIVATE LIMITED,Andhra Pradesh,2020-01-20,10
U28990AP2020PTC113927,AMFICS PRIVATE LIMITED,Andhra Pradesh,2020-01-17,11
U55209AP2020PTC113928,STARGATE ENTERTAINMENT PRIVATE LIMITED,Andhra Pradesh,2020-01-17,11
U45400AP2020PTC113924,NANDHISWARA CONSTRUCTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-17,11
U45400AP2020PTC113926,YUVAAN CONSTRUCTIONS & POWERTECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-17,11
U72900AP2020PTC113925,INTUITIVE DATA SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-17,11
U92100AP2020PTC113921,VIHARI ENTERTAINERS PRIVATE LIMITED,Andhra Pradesh,2020-01-15,12
U55109AP2020PTC113923,JRG TREND GLOBAL PRIVATE LIMITED,Andhra Pradesh,2020-01-15,12
U45309AP2020PTC113919,VVC INFRASTRUCTURES PRIVATE LIMITED,Andhra Pradesh,2020-01-15,12
U74999AP2020OPC113920,ADRL SCIENCES (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-15,12
U74999AP2020PTC113918,RAPTRESOURCE AND MANPOWER SUPPLY PRIVATELIMITED,Andhra Pradesh,2020-01-15,12
U74999AP2020PTC113922,ALPHA ACCOUNTING SOLUTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-15,12
U01100AP2020PTC113904,ADIVASI CASHEWNUT FARMERS PRODUCERCOMPANY LIMITED,Andhra Pradesh,2020-01-14,13
U01110AP2020PTC113911,ECO AGRI ORGANIC FARMING PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U70109AP2020PTC113903,MY VILLAGE AGRO INDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U05000AP2020PTC113914,DEEPAK NEXGEN HATCHERIES PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U45201AP2020PTC113908,LOKESWARA & ANIL INTERNATIONALCONSTRUCTION PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U85300AP2020NPL113917,SPANDANAEDA INTERNATIONAL FOUNDATION,Andhra Pradesh,2020-01-14,13
U85300AP2020PTC113907,SAI BALAJI SPECIALITY IMAGING PRIVATELIMITED,Andhra Pradesh,2020-01-14,13
U80900AP2020PTC113913,SR'I KNOWLEDGE CENTER PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U20100AP2020PTC113915,AAKRUTHI RAYTHU MITRA SANGAM PRODUCERCOMPANY LIMITED,Andhra Pradesh,2020-01-14,13
U45309AP2020OPC113902,HARSHITH REDDY INFRA (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-14,13
U72900AP2020PTC113905,HEMITO INDUSTRIES PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U72900AP2020PTC113906,LUCKY CLICK NETWORK PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U45500AP2020PTC113909,VIP MEGA CONSTRUCTIONS AND ENGINEERINGWORKS PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U74999AP2020PTC113910,TANDAVA INNOVATIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U74999AP2020PTC113912,KAMATHGIRI STEELS PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U74999AP2020PTC113916,PERANTI GREEN INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-14,13
U01113AP2020PTC113890,SIKKOLU WEAVERS PRODUCER COMPANY LIMITED,Andhra Pradesh,2020-01-13,14
U32100AP2020PTC113898,NAVANANDI BROADCASTING PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U05000AP2020PTC113896,SRI MATSYENDRANATH AQUA PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U63030AP2020PTC113901,KRISANDY PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U37100AP2020SGC113894,ANDHRA PRADESH ENVIRONMENT MANAGEMENTCORPORATION LIMITED,Andhra Pradesh,2020-01-13,14
U45309AP2020PTC113897,SRIVAISHNAVI CONSTRUCTIONS INDIA PRIVATELIMITED,Andhra Pradesh,2020-01-13,14
U45400AP2020PTC113891,SBNS FAB-CON INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U72900AP2020PTC113892,FURI CONSULTANCY SERVICES PRIVATELIMITED,Andhra Pradesh,2020-01-13,14
U72900AP2020PTC113895,LAKSHMAN & MURAGAIAH INDUSTRIES PRIVATELIMITED,Andhra Pradesh,2020-01-13,14
U72900AP2020PTC113899,PEMMA GLOBAL CONSULTING PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U50400AP2020PTC113893,NIVEDITHA MOTORS PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U74999AP2020PTC113900,PHEEBS FOODS PRIVATE LIMITED,Andhra Pradesh,2020-01-13,14
U01100AP2020PTC113880,DWARAKA ACID LEMON FARMERS PRODUCERCOMPANY LIMITED,Andhra Pradesh,2020-01-10,15
U01100AP2020PTC113883,SRI MAHADEV HORTICULTURE FARMERSPRODUCER COMPANY LIMITED,Andhra Pradesh,2020-01-10,15
U70109AP2020PTC113885,PROGRESSIVE GLOBAL ASSOCIATES PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U31909AP2020PTC113882,KONDAPETA TECH SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-10,15
U51909AP2020PTC113886,CHARANS NATURAL BIOPRODUCTS PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U63030AP2020OPC113877,DESI VANLIFER OVERLAND EXPEDITIONS (OPC)PRIVATE LIMITED,Andhra Pradesh,2020-01-10,15
U92132AP2020PTC113879,SSLC SMARTWAY DIGITAL NETWORK PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U52599AP2020PTC113881,MED PLANET PRIVATE LIMITED,Andhra Pradesh,2020-01-10,15
U80903AP2020OPC113888,JORO EDUCATION SERVICES (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U85100AP2020NPL113887,MATHRUSHREE FOUNDATION,Andhra Pradesh,2020-01-10,15
U85100AP2020PTC113878,HEALTH WITH CARE TECH PRIVATE LIMITED,Andhra Pradesh,2020-01-10,15
U72900AP2020OPC113889,THEDIGIFAC SERVICES (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U74999AP2020PTC113884,AUDUBONS CARE CLAIM SOLUTIONS PRIVATELIMITED,Andhra Pradesh,2020-01-10,15
U85300AR2020NPL013582,SUBANSIRI MAT WEAVING ASSOCIATION,Arunachal Pradesh,2020-01-31,1
U85310AR2020NPL013581,RUMBE BUI AGARBATTI MANUFACTURERSASSOCIATION,Arunachal Pradesh,2020-01-29,2
U20200AR2020PTC013580,K-4 BROTHERS BAMBOO MANUFACTURER PRIVATELIMITED,Arunachal Pradesh,2020-01-23,3
U63030AR2020PTC013579,ITAMOTO TRAVEL PRIVATE LIMITED,Arunachal Pradesh,2020-01-21,4
U74999AR2020PTC013578,SPACE MIRACLE STUDIOS PRIVATE LIMITED,Arunachal Pradesh,2020-01-09,5
U55101AR2020OPC013577,BADO SOCIAL HUB (OPC) PRIVATE LIMITED,Arunachal Pradesh,2020-01-03,6
U45309AR2019PTC013575,KOMDE INFRASTRUCTURE PRIVATE LIMITED,Arunachal Pradesh,2019-12-30,7
U45309AR2019PTC013576,BYB INFRASTRUCTURE PRIVATE LIMITED,Arunachal Pradesh,2019-12-30,7
U72501AR2019OPC013574,MARANG (OPC) PRIVATE LIMITED,Arunachal Pradesh,2019-12-30,7
U52100AR2019PTC013573,TAYUM INFOSY PRIVATE LIMITED,Arunachal Pradesh,2019-12-20,8
U45500AR2019PTC013572,T.N. CONSTRUCTION AND SUPPLY PRIVATELIMITED,Arunachal Pradesh,2019-12-13,9
U93090AR2019PTC013571,FLYING MONALS EVENT MANAGEMENT PRIVATELIMITED,Arunachal Pradesh,2019-12-12,10
U45209AR2019PTC013570,PACHUK VALLEY CONSTRUCTION PRIVATELIMITED,Arunachal Pradesh,2019-12-06,11
U15133AR2019PTC013569,DYT FOODS PRIVATE LIMITED,Arunachal Pradesh,2019-10-10,12
U15134AR2019PTC013567,JYJ FOODS PRIVATE LIMITED,Arunachal Pradesh,2019-10-09,13
U15138AR2019PTC013568,PJY FOODS PRIVATE LIMITED,Arunachal Pradesh,2019-10-09,13
U63030AR2019PTC013566,ALRIHLA TRAVEL AND TOURISM PRIVATELIMITED,Arunachal Pradesh,2019-09-24,14
U72900AR2019PTC013565,HENKAKOPLUS PRIVATE LIMITED,Arunachal Pradesh,2019-09-17,15
U01100AS2020PTC019888,MAHALAXMI AGRO FARMER PRODUCER COMPANYLIMITED,Assam,2020-01-31,1
U51909AS2020PTC019889,MAHIN MAHIJA TRADE PRIVATE LIMITED,Assam,2020-01-31,1
U24110AS2020PTC019884,SYNERGISTIC BIOTECH PRIVATE LIMITED,Assam,2020-01-30,2
U15134AS2020PTC019886,BARBHUIYA INTERNATIONAL PRIVATE LIMITED,Assam,2020-01-30,2
U15400AS2020PTC019887,LA MAGIE FOODS PRIVATE LIMITED,Assam,2020-01-30,2
U63000AS2020OPC019883,TRAVELSHONGI (OPC) PRIVATE LIMITED,Assam,2020-01-30,2
U85300AS2020NPL019885,TRANSFORMING MINDS FOUNDATION,Assam,2020-01-30,2
